open_time_ms,open,high,low,close,volume
1700000000000,60000.0,60109.15,59994.49,60096.05,2.783
1700000060000,60096.05,60194.34,60090.07,60169.38,0.814
1700000120000,60169.38,60290.0,60163.64,60276.33,1.505
1700000180000,60276.33,60347.03,60234.28,60306.23,3.097
1700000240000,60306.23,60346.12,60149.33,60194.92,1.803
1700000300000,60194.92,60223.81,60185.43,60216.38,1.888
1700000360000,60216.38,60277.32,60186.42,60263.39,2.176
1700000420000,60263.39,60271.69,60253.5,60256.07,0.768
1700000480000,60256.07,60338.54,60237.26,60303.49,3.135
1700000540000,60303.49,60387.6,60297.59,60368.09,4.075
1700000600000,60368.09,60414.88,60341.78,60397.73,4.438
1700000660000,60397.73,60400.29,60374.49,60394.23,4.911
1700000720000,60394.23,60483.7,60393.61,60466.69,2.7
1700000780000,60466.69,60511.46,60457.93,60476.61,3.941
1700000840000,60476.61,60498.48,60366.6,60381.12,3.175
1700000900000,60381.12,60488.15,60368.29,60464.75,4.28
1700000960000,60464.75,60597.11,60460.35,60587.75,3.657
1700001020000,60587.75,60679.46,60526.72,60633.38,4.199
1700001080000,60633.38,60681.32,60630.85,60657.92,2.578
1700001140000,60657.92,60682.82,60647.39,60676.86,0.765
1700001200000,60676.86,60722.99,60676.5,60710.29,4.421
1700001260000,60710.29,60834.6,60697.43,60811.37,2.972
1700001320000,60811.37,60991.94,60798.47,60961.77,2.369
1700001380000,60961.77,61028.5,60922.51,60996.51,4.81
1700001440000,60996.51,61068.31,60994.5,61055.96,2.682
1700001500000,61055.96,61164.59,61045.83,61148.41,0.518
1700001560000,61148.41,61159.86,61092.05,61147.37,3.607
1700001620000,61147.37,61181.13,61099.32,61102.62,3.543
1700001680000,61102.62,61263.42,61093.29,61245.94,4.09
1700001740000,61245.94,61265.22,61168.9,61184.35,0.966
1700001800000,61184.35,61190.91,61154.47,61169.74,1.23
1700001860000,61169.74,61210.83,61162.95,61206.51,0.501
1700001920000,61206.51,61269.72,61202.87,61260.49,4.434
1700001980000,61260.49,61324.48,61251.36,61313.99,1.635
1700002040000,61313.99,61337.98,61279.82,61318.88,4.969
1700002100000,61318.88,61462.8,61312.9,61435.18,0.886
1700002160000,61435.18,61562.18,61430.91,61548.67,1.226
1700002220000,61548.67,61798.5,61539.93,61738.49,2.877
1700002280000,61738.49,61904.47,61708.66,61879.8,4.903
1700002340000,61879.8,61991.71,61850.87,61966.71,1.675
1700002400000,61966.71,62003.98,61962.51,61992.84,4.006
1700002460000,61992.84,62001.29,61926.53,61941.97,4.152
1700002520000,61941.97,62084.92,61926.18,62080.33,3.829
1700002580000,62080.33,62084.69,62004.11,62033.75,2.1
1700002640000,62033.75,62057.8,62030.22,62056.73,3.616
1700002700000,62056.73,62166.16,62049.43,62140.1,4.717
1700002760000,62140.1,62367.44,62128.53,62362.77,1.521
1700002820000,62362.77,62506.36,62346.84,62500.8,3.308
